filter,n_options,n_signal_hours,opts_per_signal,win_rate,avg_multiple,fires_per_day,fires_per_week
BASELINE,114047,3131,36.4,0.232,1.971,23.72,166.0
DTE 2–3 only,85312,3131,27.2,0.252,2.095,23.72,166.0
DTE 4–7 only,28735,2309,12.4,0.175,1.614,17.49,122.4
iv_rank ≥ 0.40,54196,1412,38.4,0.276,2.025,10.7,74.9
iv_rank ≥ 0.60,33615,871,38.6,0.295,2.045,6.6,46.2
iv_rank ≥ 0.75,20698,541,38.3,0.311,2.163,4.1,28.7
hv_1d ≥ median,57049,1514,37.7,0.271,2.021,11.47,80.3
hv_1d ≥ 75th pct,28512,765,37.3,0.298,2.186,5.8,40.6
iv_hv_ratio ≥ 1.0,69452,1814,38.3,0.234,1.963,13.74,96.2
iv_hv_ratio ≥ 1.2,46172,1172,39.4,0.232,1.931,8.88,62.2
spot near EMA (±0.75%),74614,2088,35.7,0.227,1.975,15.82,110.7
spot extended >+1% (calls),5742,345,16.6,0.294,2.081,2.61,18.3
spot extended <-1% (puts),7631,392,19.5,0.283,2.17,2.97,20.8
aligned_4h > 0,56035,3130,17.9,0.243,2.037,23.71,166.0
aligned_4h > +1%,12436,680,18.3,0.26,2.086,5.15,36.1
aligned_4h > +2%,3380,188,18.0,0.316,2.284,1.42,10.0
accel > 0 (onset),56552,1550,36.5,0.233,1.965,11.74,82.2
accel > +0.3% (strong),30592,817,37.4,0.245,1.99,6.19,43.3
iv_rank≥0.60 + hv≥med,25575,674,37.9,0.31,2.109,5.11,35.7
iv_rank≥0.60 + iv_hv≥1.0,23582,581,40.6,0.284,1.971,4.4,30.8
iv_rank≥0.75 + hv≥med,16624,438,38.0,0.33,2.25,3.32,23.2
iv_rank≥0.60 + near EMA,15906,411,38.7,0.298,1.98,3.11,21.8
hv≥med + iv_hv≥1.0,22890,565,40.5,0.29,2.027,4.28,30.0
iv_rank≥0.60 + aligned_4h>0,16470,871,18.9,0.305,2.1,6.6,46.2
iv_rank≥0.60 + aligned_4h>+1%,6368,342,18.6,0.289,2.106,2.59,18.1
iv_rank≥0.75 + aligned_4h>0,10187,541,18.8,0.316,2.242,4.1,28.7
iv_rank≥0.60 + accel>0,16340,423,38.6,0.298,2.034,3.2,22.4
iv_rank≥0.60 + hv≥med + aligned_4h>0,12488,674,18.5,0.325,2.185,5.11,35.7
iv_rank≥0.60 + hv≥med + aligned_4h>+1%,5413,292,18.5,0.304,2.158,2.21,15.5
iv_rank≥0.60 + iv_hv≥1.0 + aligned_4h>0,11620,581,20.0,0.293,2.021,4.4,30.8
iv_rank≥0.75 + aligned_4h>0 + accel>0,4972,262,19.0,0.336,2.291,1.98,13.9
iv_rank≥0.60 + near EMA + accel>0,7927,204,38.9,0.301,1.985,1.55,10.8
iv_rank≥0.60 + hv≥med + accel>0,12583,332,37.9,0.315,2.099,2.52,17.6
