filter,n_options,n_signal_hours,opts_per_signal,win_rate,avg_multiple,fires_per_day,fires_per_week,section
BASELINE (DTE 1–5),114047,3131,36.4,0.232,1.971,23.72,166.0,A
DTE 1–2,51604,3131,16.5,0.276,2.288,23.72,166.0,A
DTE 1–3,85312,3131,27.2,0.252,2.095,23.72,166.0,A
DTE 1–2  +  iv_rank≥0.60,15787,871,18.1,0.335,2.336,6.6,46.2,A
DTE 1–2  +  iv_rank≥0.75,9377,541,17.3,0.352,2.521,4.1,28.7,A
DTE 1–2  +  hv≥median,27107,1514,17.9,0.304,2.292,11.47,80.3,A
DTE 1–2  +  iv_rank≥0.60 + hv≥med,12174,674,18.1,0.342,2.401,5.11,35.7,A
DTE 1–2  +  iv_rank≥0.75 + hv≥med,7653,438,17.5,0.358,2.61,3.32,23.2,A
DTE 1–3  +  iv_rank≥0.60,25327,871,29.1,0.315,2.163,6.6,46.2,A
DTE 1–3  +  iv_rank≥0.75,15100,541,27.9,0.335,2.321,4.1,28.7,A
DTE 1–3  +  iv_rank≥0.60 + hv≥med,19510,674,28.9,0.324,2.221,5.11,35.7,A
DTE 1–3  +  iv_rank≥0.75 + hv≥med,12300,438,28.1,0.346,2.403,3.32,23.2,A
DTE 1–2  +  iv_rank≥0.75 + hv≥med + aligned_4h>0,3806,438,8.7,0.396,2.818,3.32,23.2,A
DTE 1–3  +  iv_rank≥0.75 + hv≥med + aligned_4h>0,6071,438,13.9,0.373,2.559,3.32,23.2,A
CALLS  +  4h ≤ -3%  (crash recovery),657,34,19.3,0.376,2.657,0.26,1.8,B
CALLS  +  4h ≤ -3%  +  iv_rank≥0.40,622,32,19.4,0.397,2.752,0.24,1.7,B
CALLS  +  4h ≤ -3%  +  iv_rank≥0.60,622,32,19.4,0.397,2.752,0.24,1.7,B
CALLS  +  4h ≤ -3%  +  hv≥median,657,34,19.3,0.376,2.657,0.26,1.8,B
CALLS  +  4h ≤ -3%  +  DTE 1–2,297,34,8.7,0.37,3.186,0.26,1.8,B
CALLS  +  4h ≤ -3%  +  DTE 1–2  +  iv_rank≥0.60,284,32,8.9,0.387,3.29,0.24,1.7,B
CALLS  +  4h ≤ -1%  (any dip),6527,338,19.3,0.26,2.004,2.56,17.9,B
CALLS  +  4h ≤ -1%  +  iv_rank≥0.60,3991,208,19.2,0.277,2.127,1.58,11.0,B
CALLS  +  4h ≥ +3%  (strong continuation),443,26,17.0,0.381,2.115,0.2,1.4,B
CALLS  +  4h ≥ +3%  +  iv_rank≥0.60,295,17,17.4,0.366,1.82,0.13,0.9,B
PUTS   +  aligned_4h ≥ +3%,653,34,19.2,0.322,2.012,0.26,1.8,B
PUTS   +  aligned_4h ≥ +3%  +  iv_rank≥0.60,614,32,19.2,0.342,2.081,0.24,1.7,B
"CALLS  +  4h=+1:+3%  +  1h≤-1.5%  [n≈198, 66%]",0,0,0.0,,,0.0,0.0,C
CALLS  +  4h=+1:+3%  +  1h≤-0.5%,198,11,18.0,0.662,3.678,0.08,0.6,C
CALLS  +  4h≥+1%    +  1h≤-0.5%,232,13,17.8,0.565,3.298,0.1,0.7,C
CALLS  +  4h≥+1%    +  1h≤-0.15%,936,55,17.0,0.341,2.311,0.42,2.9,C
CALLS  +  4h≥+0.3%  +  1h≤-0.5%,725,41,17.7,0.429,2.633,0.31,2.2,C
CALLS  +  4h≥+1%    +  1h<0  (any pullback),1441,86,16.8,0.309,2.176,0.65,4.6,C
CALLS  +  4h≥+1%    +  1h≤-0.5%  +  iv_rank≥0.60,108,6,18.0,0.63,3.106,0.05,0.3,C
CALLS  +  4h≥+1%    +  1h≤-0.5%  +  hv≥median,191,11,17.4,0.476,2.906,0.08,0.6,C
CALLS  +  4h=+1:+3%  +  1h≤-0.5%  +  iv_rank≥0.60,91,5,18.2,0.747,3.448,0.04,0.3,C
CALLS  +  4h≥+1%    +  1h≤-0.5%  +  iv_rank≥0.60 + hv≥med,86,5,17.2,0.535,3.203,0.04,0.3,C
CALLS  +  iv_rank≥0.75,9917,541,18.3,0.326,2.084,4.1,28.7,D
PUTS   +  iv_rank≥0.75,10781,541,19.9,0.297,2.234,4.1,28.7,D
CALLS  +  iv_rank≥0.75 + hv≥median,7952,438,18.2,0.338,2.11,3.32,23.2,D
PUTS   +  iv_rank≥0.75 + hv≥median,8672,438,19.8,0.323,2.377,3.32,23.2,D
CALLS  +  iv_rank≥0.60 + hv≥median,12193,674,18.1,0.295,2.023,5.11,35.7,D
PUTS   +  iv_rank≥0.60 + hv≥median,13382,674,19.9,0.324,2.187,5.11,35.7,D
CALLS  +  iv_rank≥0.75 + hv≥med + DTE 1–2,3586,438,8.2,0.359,2.389,3.32,23.2,D
PUTS   +  iv_rank≥0.75 + hv≥med + DTE 1–2,4067,438,9.3,0.357,2.802,3.32,23.2,D
CALLS  +  iv_rank≥0.75 + aligned_4h>0,3774,212,17.8,0.342,2.029,1.61,11.2,D
PUTS   +  iv_rank≥0.75 + aligned_4h>0,6413,329,19.5,0.301,2.368,2.49,17.4,D
CALLS  +  iv_rank≥0.60 + hv≥med + aligned_4h>0,5068,292,17.4,0.327,2.027,2.21,15.5,D
PUTS   +  iv_rank≥0.60 + hv≥med + aligned_4h>0,7420,382,19.4,0.324,2.292,2.89,20.3,D
CALLS  +  iv_rank≥0.75 + hv≥med + aligned_4h>0 + DTE 1–2,1383,173,8.0,0.43,2.446,1.31,9.2,D
PUTS   +  iv_rank≥0.75 + hv≥med + aligned_4h>0 + DTE 1–2,2423,265,9.1,0.377,3.027,2.01,14.1,D
