feature,target,threshold,auc,p_raw,p_bonferroni,significant
ret_1h,mag_win,2.5,0.4988,0.8752974828887519,1.0,False
ret_4h,mag_win,2.5,0.506,0.41124332605213865,1.0,False
ret_1d,mag_win,2.5,0.4691,2.6493898193583066e-05,0.0003179267783229968,False
accel_1h,mag_win,2.5,0.4976,0.7418453676688653,1.0,False
close_vs_ema24,mag_win,2.5,0.4889,0.13103383955717993,1.0,False
close_vs_ema168,mag_win,2.5,0.4403,4.628910431716654e-16,5.554692518059984e-15,True
rv_24h,mag_win,2.5,0.6553,3.4902580725530027e-99,4.1883096870636034e-98,True
rv_rank,mag_win,2.5,0.5963,2.975416981473741e-39,3.570500377768489e-38,True
rv_trend,mag_win,2.5,0.5376,2.9941565860239685e-07,3.5929879032287624e-06,False
bb_width,mag_win,2.5,0.659,6.93814883230208e-104,8.325778598762497e-103,True
vol_z,mag_win,2.5,0.5546,1.1103550455965363e-13,1.3324260547158437e-12,True
range_ratio,mag_win,2.5,0.5556,3.926167194451914e-14,4.711400633342296e-13,True
ret_1h,call_win,2.5,0.4946,0.5465845452639403,1.0,False
ret_4h,call_win,2.5,0.4995,0.9528595045607293,1.0,False
ret_1d,call_win,2.5,0.4843,0.077876494449221,0.9345179333906519,False
accel_1h,call_win,2.5,0.4936,0.4741547759190532,1.0,False
close_vs_ema24,call_win,2.5,0.4809,0.031766465372663165,0.38119758447195795,False
close_vs_ema168,call_win,2.5,0.4402,1.8545134948575457e-11,2.225416193829055e-10,True
rv_24h,call_win,2.5,0.6548,9.708442763876942e-68,1.1650131316652331e-66,True
rv_rank,call_win,2.5,0.6003,1.8753217780530462e-29,2.2503861336636556e-28,True
rv_trend,call_win,2.5,0.5404,5.715182412313805e-06,6.858218894776565e-05,False
bb_width,call_win,2.5,0.6573,7.410744825229617e-70,8.892893790275541e-69,True
vol_z,call_win,2.5,0.5743,7.221386058189977e-17,8.665663269827972e-16,True
range_ratio,call_win,2.5,0.5692,7.92453315083897e-15,9.509439781006764e-14,True
ret_1h,put_win,2.5,0.4987,0.8832359161182383,1.0,False
ret_4h,put_win,2.5,0.4944,0.5313070925639392,1.0,False
ret_1d,put_win,2.5,0.4666,0.00017225835699058575,0.002067100283887029,False
accel_1h,put_win,2.5,0.5021,0.8157863745747801,1.0,False
close_vs_ema24,put_win,2.5,0.4802,0.02585840469325453,0.31030085631905435,False
close_vs_ema168,put_win,2.5,0.4553,4.777066139836954e-07,5.732479367804345e-06,False
rv_24h,put_win,2.5,0.6161,4.2378718165206595e-39,5.085446179824791e-38,True
rv_rank,put_win,2.5,0.5719,5.610643437422235e-16,6.732772124906682e-15,True
rv_trend,put_win,2.5,0.5319,0.00033375612533153833,0.00400507350397846,False
bb_width,put_win,2.5,0.6142,7.219903801282471e-38,8.663884561538965e-37,True
vol_z,put_win,2.5,0.5224,0.011624019536040297,0.13948823443248357,False
range_ratio,put_win,2.5,0.5287,0.0012491692978122404,0.014990031573746884,False
