iv_decile,n_candidates,n_tradeable,iv_pct_median,atm_iv_median,base_rate_pct
D1,2713,1524,6.666666666666667,23.329999923706055,56.2
D2,3670,2063,20.0,39.91999816894531,56.2
D3,1244,810,23.333333333333332,40.029998779296875,65.1
D4,2702,1429,33.33333333333333,41.08000183105469,52.9
D5,2665,1619,40.0,44.619998931884766,60.8
D6,2265,1283,50.0,51.720001220703125,56.6
D7,2930,1731,60.0,52.65999984741211,59.1
D8,2181,1423,71.42857142857143,57.720001220703125,65.2
D9,2544,1424,87.5,50.7599983215332,56.0
D10,2471,1607,100.0,65.16000366210938,65.0
